arch,d_model,d_in,layer,layer_kind,M_over_mu_pre,M_over_mu_post,kappa_pre,kappa_post,kappa_post_std
ViT-Base,768,768,vit.encoder.layer.9.intermediate.dense,mlp_in,10.109533687106815,6.994510491444774,7.863590211203484,5.516170097509545,0.2503303761636874
ViT-Base,768,3072,vit.encoder.layer.9.output.dense,mlp_out,518.1179292237546,10.675839258872262,86.62005317601526,8.296257084258485,0.5518959853301525
ViT-Base,768,768,vit.encoder.layer.10.intermediate.dense,mlp_in,8.80726365468862,6.8829980560438715,6.875496379105043,5.431671511046824,0.22327271879324212
ViT-Base,768,3072,vit.encoder.layer.10.output.dense,mlp_out,523.9985523513297,11.165751847807144,67.19226503045768,8.57357170258232,0.518262728795595
ViT-Base,768,768,vit.encoder.layer.11.intermediate.dense,mlp_in,14.574129513276706,6.812902622287993,11.371238943500634,5.401166399477763,0.24989083197345283
ViT-Base,768,3072,vit.encoder.layer.11.output.dense,mlp_out,236.6570465506887,8.628824043767793,39.635155195701174,6.729414477486242,0.24343292227838564
DeiT-Base,768,768,deit.encoder.layer.0.intermediate.dense,mlp_in,108.0615699585653,11.613016568856157,49.93456803124817,9.00634530773157,0.5212437942176408
DeiT-Base,768,3072,deit.encoder.layer.0.output.dense,mlp_out,312.64913345208055,16.65569946325176,86.52738973650042,12.439742838972176,0.7833391678495086
DeiT-Base,768,768,deit.encoder.layer.1.intermediate.dense,mlp_in,138.57408666626995,9.75322283696407,59.70253587836678,7.615095333795978,0.7682472267708949
DeiT-Base,768,3072,deit.encoder.layer.1.output.dense,mlp_out,260.0650225314103,12.602796147627132,96.07128750257775,9.743451576707603,0.49611306118560244
DeiT-Base,768,768,deit.encoder.layer.2.intermediate.dense,mlp_in,145.92368537422573,13.450483097810485,85.01442013209096,10.461111964024509,1.0025493725974457
DeiT-Base,768,3072,deit.encoder.layer.2.output.dense,mlp_out,88.04612504036672,11.35481222497098,46.60872818325853,8.94869274474951,0.5196268801910467
DeiT-Base,768,768,deit.encoder.layer.3.intermediate.dense,mlp_in,143.1840556883818,14.687643642283764,93.99331748268469,11.36643037800781,0.8430446292348275
DeiT-Base,768,3072,deit.encoder.layer.3.output.dense,mlp_out,51.48008039865371,9.590677995582107,31.87999011391012,7.585401504211163,0.549355056620539
DeiT-Base,768,768,deit.encoder.layer.4.intermediate.dense,mlp_in,113.58992113896348,11.961892818517104,77.20922453654116,9.390473711143354,0.6999999799745898
DeiT-Base,768,3072,deit.encoder.layer.4.output.dense,mlp_out,61.105755159480395,8.846821156546998,35.75644542346563,7.002599003148063,0.30763863861432206
DeiT-Base,768,768,deit.encoder.layer.5.intermediate.dense,mlp_in,90.55355809863305,9.534580273042385,61.5422607914891,7.553339403304863,0.5608768167661764
DeiT-Base,768,3072,deit.encoder.layer.5.output.dense,mlp_out,108.25465818897217,10.102327163584755,56.0723124303925,7.986542719859621,0.6289421663224062
DeiT-Base,768,768,deit.encoder.layer.6.intermediate.dense,mlp_in,65.62833004095653,7.434581794586373,46.166205777569076,5.919770359834594,0.40925192823458334
DeiT-Base,768,3072,deit.encoder.layer.6.output.dense,mlp_out,113.92722953544245,10.021209042046008,52.517070617344714,7.91581286957719,0.3521390220807394
DeiT-Base,768,768,deit.encoder.layer.7.intermediate.dense,mlp_in,47.05559592988555,6.916233073755025,33.82013125572714,5.511921107315292,0.22366061107639998
DeiT-Base,768,3072,deit.encoder.layer.7.output.dense,mlp_out,143.18617412456865,9.02303688201647,48.9967071961469,7.119491731255913,0.38809474552569945
DeiT-Base,768,768,deit.encoder.layer.8.intermediate.dense,mlp_in,28.02047459189211,7.185176424441186,19.925271547030313,5.702882563763995,0.36646284422364866
DeiT-Base,768,3072,deit.encoder.layer.8.output.dense,mlp_out,549.791334897477,10.61596121662509,65.2702051790519,8.231235423136617,0.595094568992303
DeiT-Base,768,768,deit.encoder.layer.9.intermediate.dense,mlp_in,32.89051484456662,7.176735053181934,23.539932661754477,5.687809467922422,0.3911147995451937
DeiT-Base,768,3072,deit.encoder.layer.9.output.dense,mlp_out,740.08876151417,11.334053988340557,79.22381003592209,8.746736832896753,0.4116362292927679
DeiT-Base,768,768,deit.encoder.layer.10.intermediate.dense,mlp_in,30.683918679488396,6.860719375672422,22.396883471053833,5.440628608157432,0.3261441645895108
DeiT-Base,768,3072,deit.encoder.layer.10.output.dense,mlp_out,300.78714769020775,10.451256630871557,66.60485287249075,8.171633571386351,0.44861456174877434
DeiT-Base,768,768,deit.encoder.layer.11.intermediate.dense,mlp_in,16.60533079769647,7.003720116703417,12.70011758712222,5.554592910515471,0.2590788095859621
DeiT-Base,768,3072,deit.encoder.layer.11.output.dense,mlp_out,77.62508819950952,9.463170682104543,36.96039424270809,7.429941868968031,0.3014081781005324
