Config,Layer,d,orth_residual
QR of column-normalized Gaussian,vit.encoder.layer.1.intermediate.dense,768,1.952e-05
QR of column-normalized Gaussian,vit.encoder.layer.1.output.dense,3072,5.915e-05
QR of column-normalized Gaussian,vit.encoder.layer.2.intermediate.dense,768,1.941e-05
QR of column-normalized Gaussian,vit.encoder.layer.2.output.dense,3072,5.932e-05
QR of column-normalized Gaussian,vit.encoder.layer.3.intermediate.dense,768,1.957e-05
QR of column-normalized Gaussian,vit.encoder.layer.3.output.dense,3072,5.92e-05
QR of column-normalized Gaussian,vit.encoder.layer.4.intermediate.dense,768,1.959e-05
QR of column-normalized Gaussian,vit.encoder.layer.4.output.dense,3072,5.913e-05
QR of column-normalized Gaussian,vit.encoder.layer.5.intermediate.dense,768,1.948e-05
QR of column-normalized Gaussian,vit.encoder.layer.5.output.dense,3072,5.924e-05
QR of column-normalized Gaussian,vit.encoder.layer.6.intermediate.dense,768,1.97e-05
QR of column-normalized Gaussian,vit.encoder.layer.6.output.dense,3072,5.925e-05
QR of column-normalized Gaussian,vit.encoder.layer.7.intermediate.dense,768,1.942e-05
QR of column-normalized Gaussian,vit.encoder.layer.7.output.dense,3072,5.904e-05
QR of column-normalized Gaussian,vit.encoder.layer.8.intermediate.dense,768,1.963e-05
QR of column-normalized Gaussian,vit.encoder.layer.8.output.dense,3072,5.929e-05
QR of column-normalized Gaussian,vit.encoder.layer.9.intermediate.dense,768,1.937e-05
QR of column-normalized Gaussian,vit.encoder.layer.9.output.dense,3072,5.895e-05
QR of column-normalized Gaussian,vit.encoder.layer.10.intermediate.dense,768,1.943e-05
QR of column-normalized Gaussian,vit.encoder.layer.10.output.dense,3072,5.919e-05
QR of column-normalized Gaussian,vit.encoder.layer.11.intermediate.dense,768,1.934e-05
QR of column-normalized Gaussian,vit.encoder.layer.11.output.dense,3072,5.913e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.0.intermediate.dense,768,1.954e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.0.output.dense,3072,5.969e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.1.intermediate.dense,768,1.962e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.1.output.dense,3072,5.934e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.2.intermediate.dense,768,1.96e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.2.output.dense,3072,5.938e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.3.intermediate.dense,768,1.972e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.3.output.dense,3072,5.973e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.4.intermediate.dense,768,1.931e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.4.output.dense,3072,5.936e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.5.intermediate.dense,768,1.96e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.5.output.dense,3072,5.943e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.6.intermediate.dense,768,1.94e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.6.output.dense,3072,5.959e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.7.intermediate.dense,768,1.939e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.7.output.dense,3072,5.946e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.8.intermediate.dense,768,1.968e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.8.output.dense,3072,5.932e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.9.intermediate.dense,768,1.972e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.9.output.dense,3072,5.941e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.10.intermediate.dense,768,1.958e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.10.output.dense,3072,5.935e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.11.intermediate.dense,768,1.948e-05
QR of sparse Gaussian d=0.1,vit.encoder.layer.11.output.dense,3072,5.94e-05
QR of sparse Gaussian d=0.5,vit.encoder.layer.0.intermediate.dense,768,1.96e-05
QR of sparse Gaussian d=0.5,vit.encoder.layer.0.output.dense,3072,5.934e-05
QR of sparse Gaussian d=0.5,vit.encoder.layer.1.intermediate.dense,768,1.96e-05
QR of sparse Gaussian d=0.5,vit.encoder.layer.1.output.dense,3072,5.932e-05
QR of sparse Gaussian d=0.5,vit.encoder.layer.2.intermediate.dense,768,1.945e-05
QR of sparse Gaussian d=0.5,vit.encoder.layer.2.output.dense,3072,5.918e-05
QR of sparse Gaussian d=0.5,vit.encoder.layer.3.intermediate.dense,768,1.959e-05
QR of sparse Gaussian d=0.5,vit.encoder.layer.3.output.dense,3072,5.94e-05
QR of sparse Gaussian d=0.5,vit.encoder.layer.4.intermediate.dense,768,1.952e-05
QR of sparse Gaussian d=0.5,vit.encoder.layer.4.output.dense,3072,5.922e-05
QR of sparse Gaussian d=0.5,vit.encoder.layer.5.intermediate.dense,768,1.962e-05
QR of sparse Gaussian d=0.5,vit.encoder.layer.5.output.dense,3072,5.911e-05
QR of sparse Gaussian d=0.5,vit.encoder.layer.6.intermediate.dense,768,1.959e-05
QR of sparse Gaussian d=0.5,vit.encoder.layer.6.output.dense,3072,5.915e-05
QR of sparse Gaussian d=0.5,vit.encoder.layer.7.intermediate.dense,768,1.949e-05
