name,block,is_mlp,mean_rel_err,mode
vit.encoder.layer.2.output.dense,2,True,0.05050283827570916,rovit
vit.encoder.layer.3.attention.attention.key,3,False,0.4885296588381664,rovit
vit.encoder.layer.3.attention.attention.value,3,False,0.4885296588381664,rovit
vit.encoder.layer.3.attention.attention.query,3,False,0.4885296588381664,rovit
vit.encoder.layer.3.attention.output.dense,3,False,0.11675659616771247,rovit
vit.encoder.layer.3.intermediate.dense,3,True,0.04115861833585703,rovit
vit.encoder.layer.3.output.dense,3,True,0.07635875777929506,rovit
vit.encoder.layer.4.attention.attention.key,4,False,0.32828048641321894,rovit
vit.encoder.layer.4.attention.attention.value,4,False,0.32828048641321894,rovit
vit.encoder.layer.4.attention.attention.query,4,False,0.32828048641321894,rovit
vit.encoder.layer.4.attention.output.dense,4,False,0.09859470328571507,rovit
vit.encoder.layer.4.intermediate.dense,4,True,0.03621846034694509,rovit
vit.encoder.layer.4.output.dense,4,True,0.2786126746210228,rovit
vit.encoder.layer.5.attention.attention.key,5,False,0.19837571323870712,rovit
vit.encoder.layer.5.attention.attention.value,5,False,0.19837571323870712,rovit
vit.encoder.layer.5.attention.attention.query,5,False,0.19837571323870712,rovit
vit.encoder.layer.5.attention.output.dense,5,False,0.09857027236425331,rovit
vit.encoder.layer.5.intermediate.dense,5,True,0.03542688266653955,rovit
vit.encoder.layer.5.output.dense,5,True,0.2971656461118123,rovit
vit.encoder.layer.6.attention.attention.key,6,False,0.1943684458896438,rovit
vit.encoder.layer.6.attention.attention.value,6,False,0.1943684458896438,rovit
vit.encoder.layer.6.attention.attention.query,6,False,0.1943684458896438,rovit
vit.encoder.layer.6.attention.output.dense,6,False,0.10157578266109321,rovit
vit.encoder.layer.6.intermediate.dense,6,True,0.036170043133713005,rovit
vit.encoder.layer.6.output.dense,6,True,0.2852023100098239,rovit
vit.encoder.layer.7.attention.attention.key,7,False,0.15504428380126284,rovit
vit.encoder.layer.7.attention.attention.value,7,False,0.15504428380126284,rovit
vit.encoder.layer.7.attention.attention.query,7,False,0.15504428380126284,rovit
vit.encoder.layer.7.attention.output.dense,7,False,0.09603042511312927,rovit
vit.encoder.layer.7.intermediate.dense,7,True,0.03675870619797765,rovit
vit.encoder.layer.7.output.dense,7,True,0.05506961956503301,rovit
vit.encoder.layer.8.attention.attention.key,8,False,0.12138085299803203,rovit
