layer,cka_stdptq,cos_stdptq,cka_rovit,cos_rovit
0,0.9133,0.8939,0.9133,0.8939
1,0.3716,0.4421,0.9730,0.6887
2,0.6334,0.4048,0.9764,0.6740
3,0.4711,0.4005,0.9266,0.6525
4,0.5182,0.3492,0.9258,0.6197
5,0.4454,0.3235,0.8780,0.5514
6,0.3891,0.2844,0.8283,0.4701
7,0.3077,0.2233,0.7568,0.3855
8,0.4114,0.1719,0.6585,0.3485
9,0.4127,0.1526,0.6103,0.3229
10,0.4046,0.1332,0.5977,0.2399
11,0.2774,0.1599,0.3451,0.1707
